__builtin_msa_bneg_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_bneg_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_bneg_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_bnegi_b	v16u8	v16u8 a, int imm0_7
__builtin_msa_bnegi_d	v2u64	v2u64 a, int imm0_63
__builtin_msa_bnegi_h	v8u16	v8u16 a, int imm0_15
__builtin_msa_bnegi_w	v4u32	v4u32 a, int imm0_31
__builtin_msa_bnz_b	i32	v16u8 a
__builtin_msa_bnz_d	i32	v2u64 a
__builtin_msa_bnz_h	i32	v8u16 a
__builtin_msa_bnz_v	i32	v16u8 a
__builtin_msa_bnz_w	i32	v4u32 a
__builtin_msa_bsel_v	v16u8	v16u8 a, v16u8 b, v16u8 c
__builtin_msa_bseli_b	v16u8	v16u8 a, v16u8 b, int imm0_255
__builtin_msa_bset_b	v16u8	v16u8 a, v16u8 b
__builtin_msa_bset_d	v2u64	v2u64 a, v2u64 b
__builtin_msa_bset_h	v8u16	v8u16 a, v8u16 b
__builtin_msa_bset_w	v4u32	v4u32 a, v4u32 b
__builtin_msa_bseti_b	v16u8	v16u8 a, int imm0_7
__builtin_msa_bseti_d	v2u64	v2u64 a, int imm0_63
__builtin_msa_bseti_h	v8u16	v8u16 a, int imm0_15
__builtin_msa_bseti_w	v4u32	v4u32 a, int imm0_31
__builtin_msa_bz_b	i32	v16u8 a
__builtin_msa_bz_d	i32	v2u64 a
__builtin_msa_bz_h	i32	v8u16 a
__builtin_msa_bz_v	i32	v16u8 a
__builtin_msa_bz_w	i32	v4u32 a
__builtin_msa_ceq_b	v16i8	v16i8 a, v16i8 b
__builtin_msa_ceq_d	v2i64	v2i64 a, v2i64 b
__builtin_msa_ceq_h	v8i16	v8i16 a, v8i16 b
__builtin_msa_ceq_w	v4i32	v4i32 a, v4i32 b
__builtin_msa_ceqi_b	v16i8	v16i8 a, int imm_n16_15
__builtin_msa_ceqi_d	v2i64	v2i64 a, int imm_n16_15
__builtin_msa_ceqi_h	v8i16	v8i16 a, int imm_n16_15
__builtin_msa_ceqi_w	v4i32	v4i32 a, int imm_n16_15
__builtin_msa_cfcmsa	i32	int imm0_31
